Id_pasazera;Imie;Nazwisko;Id_plci;Data_urodzenia;Email;Telefon;Id_dokumentu;Id_pracownika;Haslo
48;Gustaw;Kowal;M;16.11.1932;kowal.gustaw@poczta.fm;456843215;KKOM;0;GuKo72
49;Tomasz;Zieliński;M;21.12.1967;zieltomasz@onet.pl;536863521;DOSO;0;ToZi24
50;Agnieszka;Żurada;K;19.11.1976;a.zurada@gmail.com;541658954;DOSO;0;AgŻu76
51;Piot;Kwiatkowski;M;06.11.1982;kwiat.piotrek@gmail.com;485452215;ZPRA;4;PiKw76
52;Luiza;Wisniewska;K;18.05.1990;wisniewskaluiz@vp.pl;534365951;ZPRA;5;LuWi32
53;Maja;Pielużek;K;12.09.2000;pieluzekmaja00@o2.pl;745685546;LSTU;0;MaPi52
54;Radek;Zwoliński;M;15.02.1972;zwolinskir@gmail.com;655986323;KDRO;0;RaZw55
55;Katarzyna;Zwolińska;K;14.09.1973;zwolinskakasia@poczta.fm;475684289;KDRO;0;KaZw93
56;Zuzanna;Zwolińska;K;21.03.2002;zuzazwolinska@gmail.com;601623598;KDRO;0;ZuZw82
57;Adrianna;Zwolińska;K;02.02.1998;zwolinskaadrianna@wp.pl;756864951;KDRO;0;AdZw20
58;Eliza;Kłapocińska;K;28.01.2005;klapocinsk@02.pl;532013710;LSTU;0;ElKł22
59;Aleksandra;Nowak;K;29.09.1984;nowakola25@onet.pl;510261450;ZPRA;6;AlNo41
60;Bożena;Piechut;K;07.03.1964;bozenkapiechut@poczta.fm;780065496;ZPRA;7;BoPi23
61;Marek;Gryglewski;M;13.12.1961;gryglewskim@yahoo.com;651403605;ZPRA;8;MaGr59
62;Oliwia;Ambroziak;K;09.09.2001;ambroziak.oliwia@wp.pl;780462130;LSTU;0;OlAm83
63;Bogdan;Wiśniewski;M;06.02.1962;bogdanwisniewski@poczta.fm;561205304;KZOL;0;BoWi26
64;Jan;Domzalski;M;22.01.1981;domzalskijan9@onet.pl;504320164;KZOL;0;JaDo20
65;Krystian;Symik;M;31.01.1996;symiksymik@vp.pl;804806543;KLOD;0;KrSy19
66;Bartłomiej;Wojtasik;M;07.10.1994;wojtas123@gmail.com;504121800;ZPRA;9;BaWo20
67;Mateusz;Koroch;M;11.02.1990;matimati321@yahoo.pl;800506241;DOSO;0;MaKo30
68;Igor;Pietrzak;M;27.10.1989;pigor@poczta.fm;807880652;KLOD;0;IgPi14
69;Emil;Przybyła;M;11.01.1986;emil1986@gazeta.pl;760465260;DOSO;0;EmPr60
70;Alicja;Stańczak;K;10.02.1984;stanczakalicja84@o2.pl;601384515;DOSO;0;AlSt47
